id,time,G,A,GA,foot,way to Goal,cross,middle,setplay
284,65,Totti,Neymar,,right,short counter,,1,
284,85,Neymar,Ronaldinho,,right,possesion,,0,
284,90,,,Haaland,head,possesion,floated,0,
285,23,Totti,Arnold,,right,possesion,,0,
285,40,-,-,,,possesion,,0,own
286,74,Neymar,Messi,,right,possesion,,0,
287,16,,,フォルラン,right,possesion,,0,
287,22,Totti,Messi,,right,short counter,grouded,0,
287,33,kante,Messi,,left,setplay,grouded,0,
288,17,,,Torres,right,accident,,0,
289,14,Rummenigge,Cruijff,,right,setplay,floated,0,corner
289,24,Messi,Arnold,,left,possesion,grouded,0,
289,58,,,ミュラー,left,accident,,0,
289,90,,,Ronaldo,right,accident,,0,
290,14,,,ラッシュ,right,short counter,,0,
290,80,Neymar,Petit,,left,possesion,,0,
290,90,,,サネ,left,possesion,,0,
290,94,Messi,,,left,setplay,,1,freekick
291,29,,,モラタ,right,short counter,,,
291,63,Totti,Neymar,,left,possesion,grouded,,
291,83,,,フロジェク,right,possesion,grouded,,
292,16,,,ガビ,right,setplay,,,
292,40,,,,,possesion,,,own
292,49,Rummenigge,,,right,pressure,,,
292,83,Rummenigge,Totti,,right,possesion,,,
292,90,,,Haaland,left,possesion,,,
292,95,Isak,Ronaldinho,,right,possesion,,,
293,9,,,デルピ,right,accident,,,
293,75,,,デパウル,right,accident,,,
293,79,Isak,,,right,possesion,grouded,,
293,93,Neymar,Messi,,right,possesion,,,
295,13,Messi,Totti,,right,short counter,,,
295,38,,,フリット,right,long counter,,,
295,57,Totti,Petit,,left,setplay,grouded,,corner
296,18,,,ラッシュ,right,accident,,,
296,36,,,ムバッペ,right,possesion,,,
296,53,Messi,Cruijff,,right,possesion,,,
296,61,Neymar,Arnold,,head,setplay,floated,,corner
296,81,,,ラッシュ,right,possesion,,,
296,86,Neymar,Totti,,right,short counter,,,
297,9,,,デルピ,right,possesion,,,
297,33,,,Torres,right,long counter,,,
297,38,Rummenigge,Totti,,right,short counter,,,
297,53,Cruijff,Messi,,right,possesion,,,
297,66,Isak,Totti,,right,long counter,,,
298,37,,,Messi,right,accident,,,
298,82,Messi,,,left,accident,,,
299,40,,,フリット,left,long counter,,,
299,51,Cruijff,Messi,,right,possesion,,,
299,71,Messi,Cruijff,,left,short counter,,,
299,86,Haaland,,,left,accident,,,
300,73,Rummenigge,Totti,,right,possesion,,,
301,13,Rummenigge,Beckham,,right,possesion,,,
301,25,,,ラッシュ,right,accident,,,
301,57,Beckham,,,right,setplay,,,freekick
301,93,Neymar,,,right,accident,,,
302,18,Rummenigge,Beckham,,right,short counter,,,
302,52,,,バルボーザ,right,accident,,,
302,88,Neymar,Petit,,right,possesion,,,
303,8,,,ラッシュ,right,accident,,,
303,53,,,ザニオーロ,head,setplay,floated,,corner
303,58,Cruijff,,,right,short counter,,,
303,71,Beckham,Petit,,right,setplay,grouded,,
303,93,,,Rummenigge,right,possesion,,,
304,7,Rummenigge,Cruijff,,right,possesion,,,
304,21,,,ロマーリオ,right,accident,,,
304,29,,,ジョレンテ,right,accident,,,
304,33,Rummenigge,,,right,accident,,,
304,38,,,ロマーリオ,right,possesion,,,
304,42,Rummenigge,Cruijff,,right,possesion,,,
304,62,Rummenigge,Totti,,right,possesion,,,
305,8,,,Haaland,right,setplay,grouded,,corner
305,30,,,Haaland,left,short counter,,,
305,56,,,デリフト,head,setplay,floated,,corner
305,69,,,フリット,head,possesion,floated,,
306,4,,,Cruijff,right,possesion,,,
306,37,Rummenigge,Totti,,left,possesion,,,
306,58,Rummenigge,Cruijff,,right,possesion,,,
307,5,Cruijff,Rummenigge,,left,possesion,,,
309,37,,,Cruijff,head,setplay,floated,,corner
309,57,Haaland,Messi,,left,possesion,grouded,,
310,25,Rummenigge,Beckham,,right,short counter,,,
310,40,,,ロナウド,right,short counter,,,
310,73,,,サネ,right,accident,,,
311,5,Rummenigge,Totti,,right,possesion,,,
311,13,Cruijff,Totti,,right,possesion,,,
312,8,Messi,,,left,accident,,,
312,13,,,Mbappe,right,short counter,,,
312,41,,,Mbappe,head,long counter,floated,,
312,65,,,Boadu,right,accident,,,
312,69,,,Boadu,head,setplay,floated,,corner
312,75,Neymar,Ronaldinho,,left,,,,
312,80,Neymar,Beckham,,left,,,,
312,91,Neymar,Beckham,,right,,,,
313,48,,,フォルラン,right,long counter,,,
313,69,Rummenigge,Arnold,,right,possesion,grouded,,
313,77,,,ラッシュ,right,short counter,,,
313,89,,,ラッシュ,right,accident,,,
314,61,Cruijff,Messi,,right,possesion,grouded,,
315,78,Isak,Ronaldinho,,right,short counter,,,
315,86,,,Isak,right,short counter,,,
316,15,Rummenigge,Beckham,,head,setplay,floated,,corner
317,5,Beckham,Cruijff,,right,possesion,,,
317,28,Vieira,Messi,,right,accident,,,
317,35,,,Messi,left,accident,,,
317,54,Totti,Cruijff,,right,short counter,,,
318,36,,,ロマーリオ,right,long counter,,,
318,39,Mbappe,Cruijff,,right,short counter,,,
318,59,Cruijff,Mbappe,,right,short counter,,,
319,16,,,Haaland,head,short counter,floated,,
319,45,,,Haaland,right,short counter,,,
319,55,,,Haaland,head,setplay,floated,,corner
319,89,,,Haaland,right,short counter,floated,,
320,24,Mbappe,Messi,,left,short counter,grouded,,
320,34,Mbappe,Cruijff,,right,short counter,,,
320,46,,,Mbappe,right,short counter,,,
320,49,van Basten,Mbappe,,right,short counter,grouded,,
321,64,,,Mbappe,right,long counter,,,
323,5,,,ろま,right,short counter,,,
323,9,Rummenigge,De Bruyne,,left,possesion,,,
323,49,De Bruyne,Totti,,right,possesion,,,
324,16,,,カカ,left,possesion,,,
324,29,De Bruyne,Messi,,right,short counter,grouded,,
324,60,,,,,accident,,,
324,69,Ronaldinho,De Bruyne,,right,possesion,,,
325,11,,,Ronaldinho,right,short counter,,,
325,49,Rummenigge,Totti,,right,short counter,,,
325,57,Totti,,,,accident,,,
326,41,Totti,Rummenigge,,right,possesion,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
